"uid","namedLocation","date","eventID","domainID","siteID","plotID","subplotID","nestedSubplotID","groupID","taxonID","scientificName","taxonRank","identificationReferences","identificationQualifier","volumePercent","livePercent","deadPercent","canopyArea","meanHeight","remarks","measuredBy","recordedBy","dataQF"
"69ab3481-c558-4b43-9473-ab49aaf4a851","HARV_023.basePlot.vst","2015-09-24","vst_HARV_2015","D01","HARV","HARV_023","31","1","31 _0","BETH","Berberis thunbergii DC.","species",NA,NA,93,95,5,9.2,1.66,"","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","legacyData"
"177cdc39-f13b-483e-8aa7-9aca6445258b","HARV_023.basePlot.vst","2015-09-24","vst_HARV_2015","D01","HARV","HARV_023","31","1","31 _0","PIST","Pinus strobus L.","species",NA,NA,4,100,0,9.2,1.66,"","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","legacyData"
"6c405320-acd5-4f4e-9d3d-cf78bdf4590f","HARV_023.basePlot.vst","2015-09-24","vst_HARV_2015","D01","HARV","HARV_023","41","4","41 _0","BETH","Berberis thunbergii DC.","species",NA,NA,100,50,50,3.8,1.5,"Entered 99.9 for %volumeOfGroup because a value of 100 was not acceptable.","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","legacyData"
"4baade7f-2f7b-40b2-9366-e97ce5e571fb","HARV_023.basePlot.vst","2015-09-24","vst_HARV_2015","D01","HARV","HARV_023","31","1","31 _0","ILEX","Ilex sp.","genus",NA,NA,3,100,0,9.2,1.66,"","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","legacyData"
"0e77f5fe-5a80-45ab-b92a-2687f38764b2","SCBI_051.basePlot.vst","2016-10-12","vst_SCBI_2016","D02","SCBI","SCBI_051","39","1","39_01","BETH","Berberis thunbergii DC.","species",NA,NA,98,100,0,4.1,1.5,NA,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",NA
"1dd53314-1dc2-4ae5-b4ea-fb57c42e9555","SCBI_051.basePlot.vst","2016-10-12","vst_SCBI_2016","D02","SCBI","SCBI_051","39","1","39_02","ROMU","Rosa multiflora Thunb.","species",NA,NA,89,100,0,2.9,1.48,NA,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",NA
"5f82a2f3-c58f-48b3-8e81-8e497191c535","SCBI_051.basePlot.vst","2016-10-12","vst_SCBI_2016","D02","SCBI","SCBI_051","39","1","39_02","LIBE3","Lindera benzoin (L.) Blume","species",NA,NA,11,100,0,2.9,1.48,NA,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",NA
"5d5d942d-aa3c-44f4-8088-ca4b40dc7e32","SCBI_051.basePlot.vst","2016-10-12","vst_SCBI_2016","D02","SCBI","SCBI_051","39","1","39_01","LIBE3","Lindera benzoin (L.) Blume","species",NA,NA,2,100,0,4.1,1.5,NA,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",NA
"55d87322-7e3d-4760-b1bf-e8f7e43fd277","SCBI_051.basePlot.vst","2017-11-02","vst_SCBI_2017","D02","SCBI","SCBI_051","39","1","39_02","ROMU","Rosa multiflora Thunb.","species",NA,NA,93,100,0,5.3,1.7,"Some ROMU may not be in nested subplot or may not qualify at ddh","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",NA
"32a2161c-dec2-4d4c-b6a3-5d07ee3ae8fb","SCBI_051.basePlot.vst","2017-11-02","vst_SCBI_2017","D02","SCBI","SCBI_051","39","1","39_01","LIBE3","Lindera benzoin (L.) Blume","species",NA,NA,5,100,0,2.8,1.64,"","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",NA
