"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","ligninSampleID","collectDate","analysisDate","analyticalRepNumber","dryMass","digestVolume","foliarPhosphorusConc","foliarPotassiumConc","foliarCalciumConc","foliarMagnesiumConc","foliarSulfurConc","foliarManganeseConc","foliarIronConc","foliarCopperConc","foliarBoronConc","foliarZincConc","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF"
"db6bc625-0940-4d34-8e78-edb7e455576d","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2AyBk/0pbYcI=","2017-07-24T12:29Z","2018-03-19",1,0.108,50,0.15,0.58,0.52,0.34,0.12,241.5,38.7,3.6,75.2,12.4,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"cabfc688-e7ba-438a-9f64-9cdcd04ff742","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=","HvxvVDlCk18recdnuMUehunN/NlpHPvs7GwOX4Woi0wqWo0XAe6E9A==","2017-07-24T13:06Z","2018-03-19",2,0.105,50,0.22,0.88,1,0.37,0.18,31.3,71.9,7.2,18.5,25.2,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"444734ab-94ce-4cea-ba7a-0e417e8b43c8","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=","HvxvVDlCk18recdnuMUehunN/NlpHPvs7GwOX4Woi0wqWo0XAe6E9A==","2017-07-24T13:06Z","2018-03-19",1,0.11,50,0.22,0.89,0.97,0.37,0.17,29.7,63.1,6.3,19.6,23.9,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"0b983807-644d-479e-8888-6fc46ac832fc","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRtx+LCXQyZWQ=","2017-07-24T15:09Z","2018-03-19",1,0.108,50,0.06,1.72,0.74,0.63,0.13,212.8,272.6,3.7,22,24.2,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"32ff5408-e039-4a4c-9706-a2846a8b1161","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oJmhmKxzDCY=","2017-07-25T13:28Z","2018-03-19",1,0.106,50,0.16,1.68,1.98,0.55,0.11,67.5,53.2,25.1,46.9,16.5,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"0c60c20a-3de1-4375-b08b-5ce6d77e3528","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcxBJk92JCu1ErBe8+n81eiw==","2017-07-25T13:29Z","2018-03-19",1,0.105,50,0.17,0.99,1.31,0.28,0.17,312.5,75,8.1,41.8,29.5,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"223c6502-b935-42c1-835c-8014a9be7735","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNKVYrgd/2kEY=","2017-07-25T14:26Z","2018-03-19",1,0.106,50,0.1,0.66,0.95,0.24,0.11,138.8,45.3,8.6,30.1,29.2,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"fe270784-5c23-475e-89e9-7e0d1e2459f6","SCBI_045.basePlot.cfc","D02","SCBI","SCBI_045","tower","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0aEQ9c64G813o=","2017-07-25T16:57Z","2018-03-19",1,0.108,50,0.17,1.48,1.65,0.28,0.11,31.1,55.5,10.4,32.6,15,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"f43389e3-b3c7-4cb5-85ee-43b17ebf0840","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWziHTr/14x71s=","2017-07-26T13:50Z","2018-03-19",1,0.103,50,0.13,1.07,0.89,0.59,0.13,1514.2,42.1,8.9,23.1,28.4,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"e8e10d19-a8e4-41f6-a6c5-4c80e3038739","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWziHTr/14x71s=","2017-07-26T13:50Z","2018-03-19",2,0.103,50,0.12,1.11,0.91,0.61,0.13,1515.3,40.5,8.8,20.2,28.1,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"ce5548e5-e3f0-4906-86d1-79722b0fdfaf","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzjRrqnIHDlKA=","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzEEwfXuIEu8s=","2017-07-26T15:52Z","2018-03-19",1,0.106,50,0.12,0.41,0.84,0.23,0.1,237.4,309.8,4.2,22.1,26.6,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"90628243-dd01-4a69-89c0-5cc77cd0a3b1","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","HvxvVDlCk1+KVx888dV2UvUKxPneZWVxjm4EVnGl/t4=","HvxvVDlCk1+KVx888dV2UvUKxPneZWVxwQsuDXfTVwE=","2017-07-26T17:54Z","2018-03-19",1,0.103,50,0.14,0.89,1.47,0.39,0.11,499,62.5,8.4,40,28.3,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"978ceeb9-fd58-450d-ad52-91d2dea9704b","SCBI_010.basePlot.cfc","D02","SCBI","SCBI_010","distributed","HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq64SBG3RfAhI4=","HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq6tOEbWMwSyvQTdeYfY2sWfQ==","2017-07-27T14:24Z","2018-03-19",1,0.105,50,0.19,1.58,1.13,0.44,0.2,1010.5,69.8,6.1,69.8,33,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"160ea7b3-5b82-487f-963b-e71b96c568f9","SCBI_010.basePlot.cfc","D02","SCBI","SCBI_010","distributed","HvxvVDlCk1+ZFcUrkrclmF6kKcmWmFa6MtBN6OugIbU=","HvxvVDlCk1+ZFcUrkrclmF6kKcmWmFa6a6JhtvkGOPhroCveMhop6w==","2017-07-27T16:32Z","2018-03-19",1,0.108,50,0.18,1.11,2.18,0.27,0.14,150.4,119.3,6.8,36.8,31.7,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"9f8c2b72-21c6-4a77-ae41-209c78b30458","SCBI_045.basePlot.cfc","D02","SCBI","SCBI_045","tower","HvxvVDlCk19EVGeg9EptERY8d7QKUf5+lT00LmxDsSQ=","HvxvVDlCk19EVGeg9EptERY8d7QKUf5+RsjbOIWH67gvl0CWzsNFpw==","2017-07-28T05:10Z","2018-03-19",1,0.103,50,0.2,1.46,0.67,0.37,0.14,123.4,51.1,10.9,20.6,20.6,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"da544ad5-5b0b-4aa4-af18-9475cff49cb6","SCBI_002.basePlot.cfc","D02","SCBI","SCBI_002","distributed","HvxvVDlCk19/LDHwwAo3YxZqxe4gnGF33QYbdiOMRZA=","HvxvVDlCk19/LDHwwAo3YxZqxe4gnGF3I4tpEEK9kNTlzk6kM/79Pw==","2017-07-28T13:30Z","2018-03-19",1,0.104,50,0.29,1.09,1.49,0.3,0.18,48.7,71.4,10.8,30.5,24.4,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"63e7aeda-ad6a-4ba6-9538-5851988148b9","SCBI_002.basePlot.cfc","D02","SCBI","SCBI_002","distributed","HvxvVDlCk1+WcrkevV8Iu1UJFz5xk1r3SCyvt34gmBk=","HvxvVDlCk1+WcrkevV8Iu1UJFz5xk1r3MNYfliFxqUQ=","2017-07-28T14:47Z","2018-03-19",1,0.104,50,0.22,2.05,1.57,0.67,0.12,105.2,65.6,10.1,53.9,25.2,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"ec478a83-e76d-40aa-9932-8deec6ff9918","SCBI_002.basePlot.cfc","D02","SCBI","SCBI_002","distributed","HvxvVDlCk1+Qj9bexHPaS+L21NZ5c6MJaxl8Ck9jB24=","HvxvVDlCk1+Qj9bexHPaS+L21NZ5c6MJB2iu8N4eZbY=","2017-07-28T15:15Z","2018-03-19",1,0.102,50,0.17,1.48,0.83,0.57,0.13,273.8,268.7,277.8,23.4,270.5,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"8feabbb3-f028-45e8-8c70-ba117ee02668","SCBI_045.basePlot.cfc","D02","SCBI","SCBI_045","tower","HvxvVDlCk1885jWb3D9uoNtfBoh8w7ds1JF6UqHlHlE=","HvxvVDlCk1885jWb3D9uoNtfBoh8w7dsoQOxxD+UdycLiIeZBzPmoQ==","2017-07-28T19:35Z","2018-03-19",1,0.107,50,0.2,0.87,1.27,0.21,0.15,835.6,62.7,5.6,33.2,26.7,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"94c5019a-aa67-46a2-b2dd-3c871e2b1890","SCBI_013.basePlot.cfc","D02","SCBI","SCBI_013","distributed","HvxvVDlCk19Zj9vSHVUUnXMykrJPAQ5g0H5tKbBogRU=","HvxvVDlCk19Zj9vSHVUUnXMykrJPAQ5gQNOK5Dvb9vE=","2017-07-31T14:15Z","2018-03-19",1,0.105,50,0.14,0.47,0.83,0.17,0.12,824.6,53.1,6.3,33.5,18.1,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"1f5a8fa7-ccee-4b1e-84fe-37866ee8bb14","SCBI_013.basePlot.cfc","D02","SCBI","SCBI_013","distributed","HvxvVDlCk18ush1BqjuQDS9DQaX44XwvURN7NsCxT/M=","HvxvVDlCk18ush1BqjuQDS9DQaX44XwvfNXrbI6sLYM=","2017-07-31T15:20Z","2018-03-19",1,0.105,50,0.21,0.77,1.95,0.46,0.14,241.8,61.4,9.7,13.4,22,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"d9770031-7894-4266-990d-bd56dd3fd344","SCBI_013.basePlot.cfc","D02","SCBI","SCBI_013","distributed","HvxvVDlCk19fheKIYCBrr/6ub+ELkaNvH9kpDJGuvvY=","HvxvVDlCk19fheKIYCBrr/6ub+ELkaNvYrZNFrTZ+h+JOCkjfHp0zw==","2017-07-31T16:45Z","2018-03-19",1,0.104,50,0.17,0.36,0.91,0.1,0.12,393.8,56.4,7.9,32.6,18.1,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"5efb0ef4-7ccc-4aed-8214-2b030cc843ce","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqRhlQcjpEZCJs=","HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqRHfJdTYlfzuCfIghwwwUOow==","2017-08-01T13:20Z","2018-03-19",1,0.103,50,0.13,0.37,0.94,0.13,0.15,266.7,65.4,10.8,30.5,18.2,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"71d5a7e8-e4ca-4071-bb63-0d92b0b16c8f","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","HvxvVDlCk19JlN37PLGpuXmwYTp0GGASXFeig3DWZYo=","HvxvVDlCk19JlN37PLGpuXmwYTp0GGASSmnEBQOcc8U=","2017-08-01T14:15Z","2018-03-19",1,0.102,50,0.17,0.41,1.67,0.22,0.12,835.7,64.9,8.2,57.3,53.9,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"8029ee41-b5f2-4d79-a8d3-2830c9e94b8d","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9GpiizHsoykg80Zn6ewX9TkT9Io=","HvxvVDlCk19LcyNt9GpiizHsoykg80ZnIGXxFEtwc58=","2017-08-01T18:05Z","2018-03-19",1,0.102,50,0.13,1.24,2.24,0.84,0.12,213.9,74.8,11.4,19.5,24.6,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"b823d8e8-ef7d-4684-a777-33e1e541c38c","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9GpiizHsoykg80Zn6ewX9TkT9Io=","HvxvVDlCk19LcyNt9GpiizHsoykg80ZnIGXxFEtwc58=","2017-08-01T18:05Z","2018-03-19",2,0.1,50,0.14,1.26,2.25,0.85,0.12,234.7,87.3,11.7,21.7,22.3,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"77c61a50-b8fe-4f9a-990e-e4504e5552a5","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9Gpii5g5y6jx981iIgr5dxxPImk=","HvxvVDlCk19LcyNt9Gpii5g5y6jx981iAcLH3N07Pac=","2017-08-01T18:44Z","2018-03-19",1,0.108,50,0.18,1.48,1.1,0.68,0.15,235.4,308.2,4.1,24.3,26.6,"0","1","Ca SRM not passing","University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
