table,fieldName,description,dataType,units,downloadPkg
cfc_lignin,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
cfc_lignin,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
cfc_lignin,domainID,"Unique identifier of the NEON domain",string,NA,basic
cfc_lignin,siteID,"NEON site code",string,NA,basic
cfc_lignin,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
cfc_lignin,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",string,NA,basic
cfc_lignin,sampleID,"Identifier for sample",string,NA,basic
cfc_lignin,ligninSampleID,"Identifier for a lignin sample",string,NA,basic
cfc_lignin,collectDate,"Date of the collection event",dateTime,NA,basic
cfc_lignin,analysisDate,"Date that the sample was analyzed",dateTime,NA,basic
cfc_lignin,analyticalRepNumber,"Number of the analytical replicate",unsigned integer,number,basic
cfc_lignin,dryMass,"Oven-dried mass of sample or subsample",real,gram,basic
cfc_lignin,ligninPercent,"Percent lignin on a dry mass basis",real,percent,basic
cfc_lignin,cellulosePercent,"Percent cellulose on a dry mass basis",real,percent,basic
cfc_lignin,measurementQF,"Quality flag for sample measurement",string,NA,basic
cfc_lignin,accuracyQF,"Quality flag for quality assurance materials associated with the run",string,NA,basic
cfc_lignin,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
cfc_lignin,laboratoryName,"Name of the laboratory or facility that is processing the sample",string,NA,basic
cfc_lignin,testMethod,"Method used to conduct test",string,NA,basic
cfc_lignin,analyzedBy,"Name of lab personnel analyzing sample",string,NA,basic
cfc_lignin,reviewedBy,"Name of lab personnel who reviewed the data prior to submission",string,NA,basic
cfc_lignin,dataQF,"Data quality flag",string,NA,basic
cfc_elements,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
cfc_elements,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
cfc_elements,domainID,"Unique identifier of the NEON domain",string,NA,basic
cfc_elements,siteID,"NEON site code",string,NA,basic
cfc_elements,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
cfc_elements,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",string,NA,basic
cfc_elements,sampleID,"Identifier for sample",string,NA,basic
cfc_elements,ligninSampleID,"Identifier for a lignin sample",string,NA,basic
cfc_elements,collectDate,"Date of the collection event",dateTime,NA,basic
cfc_elements,analysisDate,"Date that the sample was analyzed",dateTime,NA,basic
cfc_elements,analyticalRepNumber,"Number of the analytical replicate",unsigned integer,number,basic
cfc_elements,dryMass,"Oven-dried mass of sample or subsample",real,gram,basic
cfc_elements,digestVolume,"Volume of digest solution used",real,milliliter,basic
cfc_elements,digestPhosphorusConc,"Concentration of phophorus in sample digest",real,milligramsPerLiter,expanded
cfc_elements,digestPotassiumConc,"Concentration of potassium in sample digest",real,milligramsPerLiter,expanded
cfc_elements,digestCalciumConc,"Concentration of calcium in sample digest",real,milligramsPerLiter,expanded
cfc_elements,digestMagnesiumConc,"Concentration of magnesium in sample digest",real,milligramsPerLiter,expanded
cfc_elements,digestSulfurConc,"Concentration of sulfur in sample digest",real,milligramsPerLiter,expanded
cfc_elements,digestManganeseConc,"Concentration of manganese in sample digest",real,milligramsPerLiter,expanded
cfc_elements,digestIronConc,"Concentration of iron in sample digest",real,milligramsPerLiter,expanded
cfc_elements,digestCopperConc,"Concentration of copper in sample digest",real,milligramsPerLiter,expanded
cfc_elements,digestBoronConc,"Concentration of boron in sample digest",real,milligramsPerLiter,expanded
cfc_elements,digestZincConc,"Concentration of zinc in sample digest",real,milligramsPerLiter,expanded
cfc_elements,foliarPhosphorusConc,"Concentration of phophorus in plant foliage sample on a dry mass basis",real,percent,basic
cfc_elements,foliarPotassiumConc,"Concentration of potassium in plant foliage sample on a dry mass basis",real,percent,basic
cfc_elements,foliarCalciumConc,"Concentration of calcium in plant foliage sample on a dry mass basis",real,percent,basic
cfc_elements,foliarMagnesiumConc,"Concentration of magnesium in plant foliage sample on a dry mass basis",real,percent,basic
