"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","ligninSampleID","collectDate","analysisDate","analyticalRepNumber","dryMass","ligninPercent","cellulosePercent","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF"
"77d7df34-fc3c-4218-b32d-44464f00d08f","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2AyBk/0pbYcI=","2017-07-24T12:29Z","2017-12-28",1,0.476,18.81,20.38,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"c0f67262-6ed9-48d7-8a21-70b7e42ce8b4","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=","HvxvVDlCk18recdnuMUehunN/NlpHPvs7GwOX4Woi0wqWo0XAe6E9A==","2017-07-24T13:06Z","2017-12-28",2,0.498,17.17,19.41,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"948d19f2-b818-4400-8f8d-9f7d9bb77a94","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=","HvxvVDlCk18recdnuMUehunN/NlpHPvs7GwOX4Woi0wqWo0XAe6E9A==","2017-07-24T13:06Z","2017-12-28",1,0.535,17.74,19.25,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"fd37b10f-1fba-418a-b640-6b48057648cb","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRtx+LCXQyZWQ=","2017-07-24T15:09Z","2017-12-28",1,0.463,13.23,21.41,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"cd8ef56d-22b7-4ad1-b818-c3d2d401c635","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oJmhmKxzDCY=","2017-07-25T13:28Z","2017-12-28",1,0.478,16.3,14.53,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"2f497c6e-fd89-4983-b807-3779b52adba4","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcxBJk92JCu1ErBe8+n81eiw==","2017-07-25T13:29Z","2017-12-28",1,0.526,16.52,22.98,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"f8724cb1-9a02-4c95-bd8b-5e0da109642e","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNKVYrgd/2kEY=","2017-07-25T14:26Z","2017-12-28",1,0.489,24.84,19.7,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"f4441409-f051-4f6e-ac5b-d0ffc5c8f3e2","SCBI_045.basePlot.cfc","D02","SCBI","SCBI_045","tower","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0aEQ9c64G813o=","2017-07-25T16:57Z","2017-12-29",1,0.518,13.15,15.6,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"32c5d315-520e-42cd-81cb-db527a59b497","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWziHTr/14x71s=","2017-07-26T13:50Z","2017-12-29",1,0.494,19.48,18.72,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"2b7b69d7-cefe-400b-a6e8-3758d8e886ae","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzjRrqnIHDlKA=","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzEEwfXuIEu8s=","2017-07-26T15:52Z","2017-12-29",1,0.519,29.98,24.64,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
