"country","state","county","domain","domainID","siteName","siteID","plotType","subtype","subSpec","plotID","plotSize","plotDim","pointID","latitude","longitude","datum","utmZone","easting","northing","horzUncert","elevation","vertUncert","minElev","maxElev","slope","aspect","nlcdClass","soilOrder","crdSource","date","filtPos","plotPdop","plotHdop","appMods","plotEdge"
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_006",1600,"40m x 40m","41",44.060511,-71.310914,"WGS84","19N",314911.193,4881190.187,0.11,432.74,0.21,426.36,448.48,7.97,234,"deciduousForest",,"GeoXH 6000",20140902,"301",5.8,3,"cdw|cfc|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","birdGrid","ninePoints","BART_018",250000,"500m x 500m","B2",44.059971,-71.277901,"WGS84","19N",317553.751,4881056.445,0.12,297.21,0.22,254.85,297.21,7.66,14.92,"mixedForest",,"GeoXH 6000",20141002,"1001",5.5,2,"brd",500
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mammalGrid",,"BART_062",8100,"90m x 90m","E5",44.05735,-71.308646,"WGS84","19N",315083.038,4880833.964,0.12,447.21,0.17,430.73,464.22,17.01,87.95,"deciduousForest",,"GeoXH 6000",20140513,"583",5.2,2.7,"mam",90
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_007",1600,"40m x 40m","41",44.049696,-71.298487,"WGS84","19N",315873.012,4879961.052,0.12,388.4,0.21,382.2,395.15,5.14,247.1,"mixedForest",,"GeoXH 6000",20131015,"302",4.6,1.5,"cdw|cfc|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_010",1600,"40m x 40m","41",44.050073,-71.26668,"WGS84","19N",318422.209,4879932.269,0.12,430.2,0.17,420.43,446.08,12.68,40,"deciduousForest",,"GeoXH 6000",20131015,"122",2.8,1.6,"cdw|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_011",1600,"40m x 40m","41",44.050006,-71.296275,"WGS84","19N",316051.185,4879990.553,0.12,370.12,0.17,364,374.05,13.5,170,"mixedForest",,"GeoXH 6000",20140903,"302",3.3,1.9,"cdw|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","birdGrid","ninePoints","BART_016",250000,"500m x 500m","B2",44.049256,-71.285512,"WGS84","19N",316911.089,4879883.269,0.13,325.44,0.18,319.47,374.22,7.44,45.42,"mixedForest",,"GeoXH 6000",20140924,"606",3.8,2.4,"brd",500
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_013",1600,"40m x 40m","41",44.041738,-71.277599,"WGS84","19N",317521.894,4879030.647,0.15,414.83,0.23,405.53,423.33,14.04,272,"deciduousForest",,"GeoXH 6000",20140924,"863",7.3,2.5,"cdw|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_070",1600,"40m x 40m","41",44.064339,-71.281445,"WGS84","19N",317283.263,4881549.527,0.15,249.84,0.24,249.84,258.79,3.21,233.4,"mixedForest",,"GeoXH 6000",20141027,"1001",6.6,3,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","tickPlot","","BART_019",1600,"40m x 40m","41",44.06935,-71.288001,"WGS84","19N",316773.723,4882120.622,0.16,231.75,0.24,230.07,238.97,2.79,22.34,"mixedForest",,"GeoXH 6000",20140825,"304",7.2,5.1,"tck",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_066",1600,"40m x 40m","41",44.056764,-71.310402,"WGS84","19N",314940.563,4880772.839,0.16,502.63,0.22,492.14,506.57,9.37,264,"mixedForest",,"GeoXH 6000",20141005,"1005",6.2,3.4,"bet|div",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_028",1600,"40m x 40m","41",44.054075,-71.306532,"WGS84","19N",315242.196,4880465.478,0.16,485.67,0.19,478.78,496.73,14.36,171.5,"evergreenForest",,"GeoXH 6000",20141001,"901",4.1,2.3,"bet|cdw|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_037",1600,"40m x 40m","41",44.061597,-71.283251,"WGS84","19N",317130.187,4881248.998,0.16,292.51,0.23,290.42,300.04,3.15,211,"deciduousForest",,"GeoXH 6000",20141019,"1088",5.1,1.6,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_071",1600,"40m x 40m","41",44.067946,-71.29062,"WGS84","19N",316559.608,4881970.585,0.16,256.47,0.19,249.91,262.42,10.2,54,"mixedForest",,"GeoXH 6000",20141027,"1006",5.4,4.4,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_047",1600,"40m x 40m","41",44.064958,-71.290866,"WGS84","19N",316530.73,4881639.23,0.16,266.93,0.3,261.71,274.42,2.63,98,"deciduousForest",,"GeoXH 6000",20141013,"1003",5.2,2.2,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_050",1600,"40m x 40m","41",44.061507,-71.2877,"WGS84","19N",316773.616,4881248.823,0.16,287.75,0.22,283.48,291.16,2.69,98,"mixedForest",,"GeoXH 6000",20141021,"1007",12.9,6.2,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","birdGrid","ninePoints","BART_015",250000,"500m x 500m","B2",44.042644,-71.273028,"WGS84","19N",317890.948,4879121.169,0.17,437.19,0.22,403.3,489.27,12.37,242.72,"mixedForest",,"GeoXH 6000",20140929,"667",5.5,2.7,"brd",500
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mosquitoPoint","","BART_057",0,"0m","41",44.061916,-71.305777,"WGS84","19N",315327.008,4881334.649,10.17,323.94,0.27,323.94,323.94,10.09,58.4,"mixedForest",,"GeoXH 6000",20140512,"601",5,2.3,"mos|mpt",0
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mosquitoPoint","","BART_060",0,"0m","41",44.049191,-71.278562,"WGS84","19N",317467.675,4879860.602,10.17,335.04,0.24,335.04,335.04,3.55,283.48,"mixedForest",,"GeoXH 6000",20140511,"601",6.4,5.4,"mos|mpt",0
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_016",1600,"40m x 40m","41",44.051257,-71.288457,"WGS84","19N",316681.316,4880112.062,0.17,316.83,0.29,311.71,320.16,2.81,205,"mixedForest",,"GeoXH 6000",20140923,"608",4.9,3,"cdw|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_080",1600,"40m x 40m","41",44.047373,-71.319733,"WGS84","19N",314163.708,4879750.711,0.17,629.31,0.26,623.59,635.87,8.53,180,"deciduousForest",,"GeoXH 6000",20141014,"1003",35.1,19.1,"bet|div",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_033",1600,"40m x 40m","41",44.063204,-71.283666,"WGS84","19N",317101.906,4881428.316,0.17,273.52,0.21,272.14,278.82,3.43,237,"deciduousForest",,"GeoXH 6000",20141020,"1018",4.2,2.5,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","tickPlot","","BART_002",1600,"40m x 40m","41",44.035231,-71.274674,"WGS84","19N",317736.258,4878301.446,0.18,502.59,0.27,494.3,510.31,22.04,250.25,"deciduousForest",,"GeoXH 6000",20141013,"1003",11.2,6,"tck",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","tickPlot","","BART_011",1600,"40m x 40m","41",44.048783,-71.295353,"WGS84","19N",316121.265,4879852.6,0.18,399.5,0.23,387.01,404.53,15.72,13.28,"mixedForest",,"GeoXH 6000",20140826,"302",6.4,3.7,"tck",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mammalGrid",,"BART_015",8100,"90m x 90m","E5",44.042898,-71.275059,"WGS84","19N",317729.004,4879153.837,0.18,422.75,0.27,422.75,453.88,11.07,322.07,"mixedForest",,"GeoXH 6000",20140813,"303",15.5,8.9,"mam",90
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mammalGrid",,"BART_084",8100,"90m x 90m","E5",44.048501,-71.297965,"WGS84","19N",315911.107,4879827.097,0.18,416.14,0.23,416.14,443.69,14.44,349.43,"evergreenForest",,"GeoXH 6000",20141001,"1003",15.9,13.3,"mam",90
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mosquitoPoint","","BART_054",0,"0m","41",44.053082,-71.27617,"WGS84","19N",317671.195,4880287.446,10.18,325.54,0.27,325.54,325.54,3.21,280.46,"deciduousForest",,"GeoXH 6000",20140511,"603",6.3,4.4,"mos|mpt",0
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mosquitoPoint","","BART_055",0,"0m","41",44.057581,-71.295847,"WGS84","19N",316108.905,4880830.962,10.18,296.66,0.26,296.66,296.66,2.97,47.29,"deciduousForest",,"GeoXH 6000",20140511,"607",6.1,2.5,"mos|mpt",0
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_015",1600,"40m x 40m","41",44.042903,-71.273126,"WGS84","19N",317883.867,4879150.148,0.18,439.15,0.22,430.17,440.32,12.68,90,"mixedForest",,"GeoXH 6000",20140902,"306",7.3,6.8,"cdw|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_032",1600,"40m x 40m","41",44.067479,-71.287582,"WGS84","19N",316801.477,4881911.917,0.18,245.35,0.26,245.35,249.54,3.49,215,"deciduousForest",,"GeoXH 6000",20141014,"1003",3.7,1.9,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_039",1600,"40m x 40m","41",44.063683,-71.288953,"WGS84","19N",316679.987,4881493.361,0.18,274.12,0.23,272.98,276.8,2.86,118,"deciduousForest",,"GeoXH 6000",20141021,"1167",5,2.7,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_040",1600,"40m x 40m","41",44.065761,-71.291993,"WGS84","19N",316442.947,4881730.876,0.18,260.47,0.25,254.51,263.61,2.06,208,"deciduousForest",,"GeoXH 6000",20141026,"1007",2.9,2.1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_073",1600,"40m x 40m","41",44.06477,-71.28861,"WGS84","19N",316710.79,4881613.297,0.18,280.73,0.25,267.52,286.18,1.2,283,"mixedForest",,"GeoXH 6000",20141013,"1004",14.7,13.7,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_074",1600,"40m x 40m","41",44.060251,-71.283201,"WGS84","19N",317130.083,4881099.314,0.18,310.84,0.24,308.44,316.83,2.86,10,"mixedForest",,"GeoXH 6000",20141020,"1006",3.8,2.8,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mammalGrid",,"BART_001",8100,"90m x 90m","E5",44.046877,-71.305115,"WGS84","19N",315333.282,4879662.766,0.19,463.71,0.25,463.71,531.62,9.02,19.24,"mixedForest",,"GeoXH 6000",20131023,"601",4.9,3.2,"mam",90
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_003",1600,"40m x 40m","41",44.055252,-71.263154,"WGS84","19N",318720.44,4880499.713,0.19,439.53,0.32,435.81,445.42,3.26,130,"deciduousForest",,"GeoXH 6000",20140915,"650",4.3,1.9,"bgc|cdw|cfc|dhp|div|hbp|sme|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_004",1600,"40m x 40m","41",44.041571,-71.28692,"WGS84","19N",316774.55,4879032.785,0.19,526.43,0.29,518.59,531.5,7.97,132,"mixedForest",,"GeoXH 6000",20140910,"309",6.8,4,"bgc|cdw|cfc|dhp|div|hbp|sme|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_034",1600,"40m x 40m","41",44.064283,-71.285609,"WGS84","19N",316949.648,4881552.557,0.19,267.5,0.29,266.32,274.15,7.41,286,"mixedForest",,"GeoXH 6000",20141015,"1004",5.4,2.1,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_036",1600,"40m x 40m","41",44.06208,-71.285876,"WGS84","19N",316921.492,4881308.444,0.19,293.18,0.25,288.3,296.63,1.72,236,"deciduousForest",,"GeoXH 6000",20141020,"1004",5.8,3.2,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_042",1600,"40m x 40m","41",44.060186,-71.288047,"WGS84","19N",316741.754,4881102.872,0.19,288.82,0.23,286.8,293.86,1.72,201,"deciduousForest",,"GeoXH 6000",20141012,"1001",5.5,2.9,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_044",1600,"40m x 40m","41",44.061037,-71.284327,"WGS84","19N",317042.338,4881189.09,0.19,302.9,0.27,301.19,309.76,1.43,151,"deciduousForest",,"GeoXH 6000",20141019,"1001",4,1.7,"bbc|cdw|dhp|hbp|ltr|vst",40
